case_id,tickets_last_7d,avg_aht_seconds,adherence_pct,schedule_variance_min,tenure_days,training_completed,language_group,sla_risk
ML-0098,20,414,97.55,78,270,1,Bilingual,1
ML-0099,32,543,86.08,6,662,1,EN,0
ML-0100,11,522,78.21,15,819,0,ES,1
ML-0101,34,679,88.55,49,1253,0,ES,1
ML-0102,10,457,90.08,71,458,0,EN,0
ML-0103,15,306,92.27,59,147,0,EN,0
ML-0104,25,730,83.36,-20,667,0,Bilingual,1
ML-0105,6,605,97.94,-25,1044,0,ES,0
ML-0106,13,352,90.91,48,150,1,EN,0
ML-0107,25,625,79.5,73,1040,1,Bilingual,1
ML-0108,43,703,78.75,27,193,1,Bilingual,1
ML-0109,32,564,94.79,-11,459,0,Bilingual,0
ML-0110,4,284,96.12,79,1229,1,Bilingual,0
ML-0111,32,666,78.12,53,597,1,EN,1
ML-0112,32,635,79.86,40,218,1,EN,1
ML-0113,26,545,97.54,66,267,1,EN,1
ML-0114,32,587,91.4,63,525,0,ES,1
ML-0115,2,501,93.61,-20,707,1,EN,0
ML-0116,40,686,95.12,56,67,1,Bilingual,1
ML-0117,20,290,86.17,61,1253,0,ES,0
ML-0118,2,746,91.92,-21,1228,0,ES,0
ML-0119,14,448,81.64,0,380,1,EN,0
ML-0120,27,713,88.49,74,1249,0,ES,1
ML-0121,2,537,83.21,10,64,0,Bilingual,1
ML-0122,32,280,94.86,14,888,1,EN,0
ML-0123,34,642,84.64,-19,565,1,ES,1
ML-0124,22,749,91.92,45,360,1,ES,1
ML-0125,37,627,81.37,40,1109,1,ES,1
ML-0126,29,491,97.74,-22,566,1,ES,0
ML-0127,44,454,94.57,5,1148,0,EN,0
ML-0128,32,727,95.67,4,989,1,ES,1
ML-0129,43,750,96.16,-26,943,0,EN,1
ML-0130,5,402,85.23,60,267,1,EN,1
ML-0131,37,353,90.96,60,503,0,ES,1
ML-0132,8,350,95.44,13,503,1,ES,0
ML-0133,41,684,91.52,70,490,1,EN,1
ML-0134,34,331,78.36,34,1100,1,ES,1
ML-0135,9,722,78.55,11,1156,1,Bilingual,1
ML-0136,36,746,92.86,2,1396,1,EN,0
ML-0137,0,481,83.64,7,566,0,Bilingual,0
ML-0138,18,503,82.46,-9,1264,1,ES,0
ML-0139,4,349,85.58,-24,620,1,EN,0
ML-0140,11,503,83.93,-5,817,0,EN,0
ML-0141,4,564,95.22,42,773,0,Bilingual,0
ML-0142,13,300,78.17,80,1240,1,Bilingual,1
ML-0143,18,309,87.36,23,965,0,EN,0
ML-0144,3,458,89.89,-2,74,0,Bilingual,0
ML-0145,14,535,95.24,54,407,0,EN,1
ML-0146,6,756,92.34,63,1354,0,EN,1
ML-0147,26,603,85.42,31,1084,0,Bilingual,1
ML-0148,31,377,90.82,73,1123,1,Bilingual,1
ML-0149,23,330,97.85,41,1039,0,ES,0
ML-0150,10,571,92.06,35,989,0,ES,0
ML-0151,40,754,90.91,-11,627,1,ES,1
ML-0152,38,758,89.42,75,620,0,EN,1
ML-0153,21,629,94.26,-14,752,1,Bilingual,0
ML-0154,25,460,95.87,78,201,0,ES,1
ML-0155,31,570,88.97,74,817,0,EN,1
ML-0156,9,514,88.91,-7,1270,0,ES,0
ML-0157,0,491,89.96,14,899,0,ES,0
ML-0158,21,463,92.76,-39,1184,0,Bilingual,0
ML-0159,40,568,89.2,71,765,0,Bilingual,1
ML-0160,5,426,89.64,59,255,0,ES,0
ML-0161,0,289,79.17,15,277,0,EN,0
ML-0162,0,285,86.52,20,1139,0,ES,0
ML-0163,1,746,96.84,-1,17,1,Bilingual,0
ML-0164,26,712,81.67,15,698,1,Bilingual,1
ML-0165,29,565,88.24,62,54,0,EN,1
ML-0166,13,418,96.02,-24,800,1,Bilingual,0
ML-0167,10,608,80.75,52,278,0,EN,1
ML-0168,16,728,95.41,42,977,1,ES,1
ML-0169,39,438,93.46,-15,1167,0,ES,0
ML-0170,21,315,88.26,-37,152,0,ES,0
ML-0171,32,547,87.68,48,1261,0,Bilingual,1
ML-0172,18,687,86.56,38,202,0,EN,1
ML-0173,25,593,92.11,37,1203,0,ES,0
ML-0174,8,600,94.18,33,1398,1,Bilingual,0
ML-0175,0,678,97.47,16,1268,0,EN,0
ML-0176,21,758,88.07,-19,805,1,ES,0
ML-0177,7,372,88.37,15,915,1,ES,0
ML-0178,35,723,78.75,-7,1113,0,ES,1
ML-0179,29,490,89.26,50,659,1,EN,1
ML-0180,19,541,84.74,9,1348,0,Bilingual,1
ML-0181,28,357,97.54,14,1104,1,ES,0
ML-0182,33,452,90.86,65,540,0,Bilingual,1
ML-0183,14,349,90.98,-18,954,0,EN,0
ML-0184,22,686,86.41,74,874,1,EN,1
ML-0185,22,660,86.47,8,81,0,Bilingual,1
ML-0186,27,589,89.1,39,395,0,ES,1
ML-0187,4,684,88.13,45,1263,0,Bilingual,0
ML-0188,30,592,79.64,-23,965,1,Bilingual,1
ML-0189,2,727,97.26,43,1062,0,ES,1
ML-0190,12,636,88.71,43,264,1,Bilingual,1
ML-0191,40,444,83.91,-18,794,0,ES,1
ML-0192,38,513,80.63,-19,863,1,Bilingual,1
ML-0193,0,693,84.55,60,87,0,ES,1
ML-0194,45,333,97.62,2,323,0,EN,0
ML-0195,12,560,93.23,-4,1005,1,EN,0
ML-0196,0,299,95.88,17,989,1,EN,0
ML-0197,35,335,89.36,-1,639,0,ES,0
ML-0198,35,481,93.0,-25,1346,1,ES,0
ML-0199,39,285,86.21,-16,1323,1,EN,0
ML-0200,21,336,80.42,-31,662,1,EN,1
ML-0201,41,616,79.92,-32,132,0,EN,1
ML-0202,5,466,86.28,-34,266,0,Bilingual,0
ML-0203,17,404,86.76,-23,599,0,ES,0
ML-0204,12,577,81.61,51,1078,0,ES,1
ML-0205,6,745,81.5,-34,1318,1,EN,1
ML-0206,1,419,94.67,56,1263,0,Bilingual,0
ML-0207,5,600,83.37,-5,788,0,Bilingual,0
ML-0208,17,370,82.01,56,552,0,EN,1
ML-0209,21,503,88.22,-2,1209,0,EN,0
ML-0210,23,734,87.49,-4,86,1,EN,1
ML-0211,6,469,84.88,-34,523,1,Bilingual,0
ML-0212,3,573,91.34,54,363,0,EN,0
ML-0213,41,756,78.18,-34,115,1,ES,1
ML-0214,24,577,79.27,61,810,0,ES,1
ML-0215,34,681,93.66,-19,1026,1,EN,0
ML-0216,26,363,80.64,43,721,0,ES,1
ML-0217,18,490,93.04,-4,427,0,Bilingual,0
ML-0218,27,608,95.99,58,834,0,Bilingual,1
ML-0219,23,421,82.29,-7,1316,1,Bilingual,1
ML-0220,3,326,85.03,2,1339,0,EN,0
ML-0221,8,722,90.43,-34,796,1,Bilingual,0
ML-0222,17,575,81.42,-32,1361,1,Bilingual,0
ML-0223,27,664,86.61,49,1034,1,Bilingual,1
ML-0224,26,678,81.05,72,872,1,Bilingual,1
ML-0225,36,722,80.98,73,432,1,Bilingual,1
ML-0226,19,450,84.73,25,541,0,EN,1
ML-0227,15,662,82.28,50,210,0,ES,1
ML-0228,19,396,81.7,-5,231,1,ES,0
ML-0229,16,728,93.51,-39,1125,1,Bilingual,0
ML-0230,1,717,89.4,44,924,0,EN,0
ML-0231,10,575,79.31,38,175,0,ES,1
ML-0232,29,336,88.85,-4,732,0,ES,0
ML-0233,34,490,94.73,-19,1290,1,EN,0
ML-0234,15,573,92.86,-11,1006,1,EN,0
ML-0235,2,580,82.67,56,1071,1,Bilingual,1
ML-0236,3,549,81.62,-15,180,0,Bilingual,1
ML-0237,27,623,89.19,66,1077,1,EN,1
ML-0238,44,390,82.32,-8,29,0,ES,1
ML-0239,14,320,91.26,45,1005,0,EN,0
ML-0240,30,681,87.64,61,117,1,Bilingual,1
ML-0241,22,370,91.86,25,591,1,EN,0
ML-0242,30,323,79.05,-37,1225,1,EN,1
ML-0243,6,747,97.39,15,1261,1,Bilingual,0
ML-0244,2,354,84.79,-40,1024,1,EN,0
ML-0245,16,635,84.48,9,560,0,EN,1
ML-0246,37,371,93.35,-16,62,0,ES,0
ML-0247,30,301,95.33,-9,413,0,Bilingual,0
ML-0248,45,403,95.17,53,625,1,EN,1
ML-0249,4,364,89.78,8,894,1,EN,0
ML-0250,9,398,85.98,40,1072,0,EN,1
ML-0251,4,588,88.84,-14,965,1,ES,0
ML-0252,25,665,97.49,39,183,0,Bilingual,1
ML-0253,35,528,92.74,-8,521,0,EN,0
ML-0254,5,460,95.93,14,180,0,EN,0
ML-0255,26,340,83.1,4,362,0,EN,1
ML-0256,27,335,95.9,-30,1278,1,EN,0
ML-0257,2,722,97.59,-34,1322,0,Bilingual,0
ML-0258,1,590,97.1,67,1059,1,EN,0
ML-0259,26,358,95.21,-3,37,1,ES,0
ML-0260,28,669,80.13,61,143,0,EN,1
ML-0261,21,556,82.8,72,1160,0,EN,1
ML-0262,43,534,79.91,58,642,0,Bilingual,1
ML-0263,26,365,97.03,-40,202,1,Bilingual,0
ML-0264,19,674,93.15,16,786,1,Bilingual,0
ML-0265,5,343,83.56,-2,1124,0,Bilingual,0
ML-0266,4,464,78.45,36,947,0,ES,1
ML-0267,34,532,83.1,-16,231,1,ES,1
ML-0268,19,381,85.39,27,283,1,Bilingual,0
ML-0269,26,612,83.01,51,820,0,EN,1
ML-0270,39,354,92.02,5,603,1,Bilingual,0
ML-0271,5,638,80.71,32,1340,1,EN,1
ML-0272,43,741,78.43,78,804,0,ES,1
ML-0273,38,501,94.86,52,1350,1,ES,0
ML-0274,10,340,81.31,7,266,0,EN,1
ML-0275,38,728,90.34,38,1045,0,ES,1
ML-0276,14,724,90.67,-9,1020,1,EN,0
ML-0277,44,427,89.7,-37,944,1,Bilingual,0
ML-0278,32,435,78.81,12,1251,1,Bilingual,1
ML-0279,45,291,94.5,-11,1316,1,EN,0
ML-0280,20,431,84.74,29,889,1,ES,0
ML-0281,2,386,80.84,32,406,0,EN,1
ML-0282,31,492,89.63,75,132,1,Bilingual,1
ML-0283,41,541,93.97,-28,1293,0,ES,0
ML-0284,16,426,97.37,38,59,1,ES,0
ML-0285,1,672,84.51,-1,895,0,Bilingual,0
ML-0286,31,755,92.65,-9,960,0,EN,1
ML-0287,11,686,89.64,52,332,0,ES,1
ML-0288,6,386,90.33,-20,46,1,EN,0
ML-0289,30,578,90.28,75,1388,0,Bilingual,1
ML-0290,7,521,79.02,31,1053,1,EN,1
ML-0291,16,710,89.86,-33,1356,1,EN,0
ML-0292,31,324,81.43,-30,1137,0,ES,0
ML-0293,33,302,82.55,23,1099,1,ES,0
ML-0294,17,315,92.29,64,210,0,Bilingual,0
ML-0295,5,386,87.36,-32,1136,1,ES,0
ML-0296,35,632,80.48,-24,1380,0,EN,1
ML-0297,2,449,95.99,-24,669,1,ES,0
ML-0298,21,607,82.43,-10,127,0,ES,1
ML-0299,23,446,93.22,41,1037,0,EN,0
ML-0300,43,489,87.76,-21,230,1,EN,1
ML-0301,12,503,89.57,65,1009,0,EN,0
ML-0302,16,358,82.3,54,691,0,EN,1
ML-0303,22,391,89.64,73,583,0,EN,0
ML-0304,38,526,87.49,77,129,0,ES,1
ML-0305,44,714,85.73,-2,1157,0,Bilingual,1
ML-0306,27,339,83.3,78,453,0,EN,1
ML-0307,28,643,79.41,39,305,0,EN,1
ML-0308,29,375,88.76,16,193,1,EN,0
ML-0309,14,669,88.31,-22,1391,1,Bilingual,0
ML-0310,31,418,89.87,58,595,1,EN,1
ML-0311,1,329,95.24,52,636,1,EN,0
ML-0312,22,533,83.87,8,1092,1,ES,0
ML-0313,5,620,86.31,68,1234,0,Bilingual,1
ML-0314,9,706,95.28,-6,649,0,Bilingual,0
ML-0315,43,342,84.34,78,260,1,Bilingual,1
ML-0316,37,407,81.08,2,886,1,Bilingual,1
ML-0317,45,701,96.69,-23,639,0,EN,1
ML-0318,30,570,91.9,-22,368,1,Bilingual,0
ML-0319,26,326,83.79,5,1199,1,Bilingual,0
ML-0320,38,369,81.22,10,702,0,ES,1
ML-0321,3,568,95.08,-11,977,1,EN,0
ML-0322,38,612,84.63,9,244,1,EN,1
ML-0323,2,650,78.89,53,859,0,EN,1
ML-0324,35,449,86.84,45,213,1,Bilingual,1
ML-0325,11,443,92.83,-11,899,1,Bilingual,0
ML-0326,31,639,80.56,24,1392,0,Bilingual,1
ML-0327,4,746,85.12,23,213,1,Bilingual,1
ML-0328,17,385,94.91,-2,1205,0,Bilingual,0
ML-0329,40,683,80.78,26,1314,1,ES,1
ML-0330,20,523,90.78,1,549,0,ES,0
ML-0331,2,339,78.64,64,284,0,Bilingual,1
ML-0332,28,710,83.48,-19,1124,0,ES,1
ML-0333,15,494,81.89,-7,690,1,ES,1
ML-0334,44,332,81.68,56,704,1,Bilingual,1
ML-0335,9,487,90.6,38,23,0,ES,0
ML-0336,8,535,85.22,-19,857,1,ES,0
ML-0337,11,497,93.15,22,1066,1,Bilingual,0
ML-0338,31,290,95.79,53,506,1,ES,0
ML-0339,6,422,85.81,-16,1355,1,ES,0
ML-0340,32,410,87.25,63,1369,0,EN,1
ML-0341,42,604,79.63,62,65,0,ES,1
ML-0342,18,479,82.1,-33,311,0,ES,0
ML-0343,37,476,84.28,19,1350,0,EN,1
ML-0344,8,630,96.38,-36,1214,1,ES,0
ML-0345,6,437,92.92,-35,131,0,ES,0
ML-0346,6,728,82.06,-11,599,1,EN,1
ML-0347,37,370,79.61,36,221,0,ES,1
ML-0348,22,526,82.76,-38,1360,1,EN,1
ML-0349,29,675,84.33,6,817,0,Bilingual,1
ML-0350,21,624,80.34,75,1397,0,ES,1
ML-0351,16,564,91.53,-18,647,1,EN,0
ML-0352,22,585,89.39,-39,117,0,ES,0
ML-0353,34,736,94.96,4,505,0,Bilingual,1
ML-0354,24,740,86.48,35,1257,0,EN,1
ML-0355,42,382,91.93,-32,1283,0,ES,0
ML-0356,2,573,79.77,46,945,1,Bilingual,1
ML-0357,30,748,85.53,-33,756,0,Bilingual,1
ML-0358,25,708,82.99,-25,323,1,ES,1
ML-0359,3,670,79.38,-40,24,0,EN,1
ML-0360,37,480,89.23,75,383,0,EN,1
ML-0361,16,600,90.4,-18,1164,1,ES,0
ML-0362,37,686,85.36,14,81,0,ES,1
ML-0363,8,629,81.98,79,679,0,Bilingual,1
ML-0364,16,589,96.91,79,1065,1,EN,1
ML-0365,19,626,80.78,0,278,0,Bilingual,1
ML-0366,7,517,87.71,66,492,1,ES,0
ML-0367,30,563,85.6,44,1106,0,Bilingual,1
ML-0368,2,671,82.43,10,608,1,ES,1
ML-0369,34,321,81.39,13,978,0,ES,1
ML-0370,18,630,95.42,2,979,1,ES,0
ML-0371,19,419,95.97,-7,1031,0,Bilingual,0
ML-0372,42,481,94.6,72,1226,0,EN,1
ML-0373,29,682,78.13,74,1155,1,EN,1
ML-0374,32,511,78.18,47,645,1,EN,1
ML-0375,34,342,90.73,49,728,0,ES,0
ML-0376,36,746,88.28,55,184,0,ES,1
ML-0377,43,646,81.33,12,775,1,EN,1
ML-0378,27,692,85.63,37,198,1,ES,1
ML-0379,35,445,86.87,61,106,1,ES,1
ML-0380,22,521,88.48,76,1074,1,Bilingual,1
ML-0381,25,575,81.51,68,539,0,ES,1
ML-0382,31,588,87.62,-10,210,0,Bilingual,1
ML-0383,20,474,78.8,12,87,0,ES,1
ML-0384,32,653,96.3,61,1198,1,ES,1
ML-0385,26,473,92.58,5,587,0,Bilingual,0
ML-0386,20,617,95.03,-14,1228,0,Bilingual,0
ML-0387,8,713,97.47,-13,476,0,Bilingual,1
ML-0388,38,709,96.8,1,560,0,EN,1
ML-0389,40,642,86.41,-30,1170,0,ES,1
ML-0390,17,679,80.71,10,718,1,Bilingual,1
ML-0391,37,397,84.76,74,1126,0,Bilingual,1
ML-0392,4,738,81.32,-39,876,1,ES,1
ML-0393,2,426,87.19,-6,431,1,EN,0
ML-0394,6,639,94.66,76,1125,1,ES,1
ML-0395,17,288,84.2,30,1253,1,EN,0
ML-0396,35,673,94.61,0,1381,1,Bilingual,0
ML-0397,36,311,88.03,46,734,1,ES,0
ML-0398,12,360,78.01,37,329,1,Bilingual,1
ML-0399,2,365,93.38,79,1059,1,Bilingual,0
ML-0400,17,512,96.55,-37,453,0,Bilingual,0
ML-0401,35,634,89.87,2,1059,1,ES,0
ML-0402,16,630,81.34,-14,520,1,ES,0
ML-0403,34,620,96.56,-16,395,1,ES,0
ML-0404,31,650,91.97,34,368,0,Bilingual,1
ML-0405,27,496,79.4,17,143,1,Bilingual,1
ML-0406,29,403,84.24,67,250,1,Bilingual,1
ML-0407,22,314,90.36,19,397,1,ES,0
ML-0408,32,718,93.83,44,395,0,ES,1
ML-0409,6,543,87.19,-1,1275,0,EN,0
ML-0410,26,721,78.41,-4,377,1,ES,1
ML-0411,24,524,93.6,65,200,1,EN,1
ML-0412,3,759,90.53,24,737,0,Bilingual,1
ML-0413,8,614,97.87,-6,579,1,Bilingual,0
ML-0414,31,445,83.29,15,941,1,ES,1
ML-0415,15,348,95.01,3,1308,0,ES,0
ML-0416,11,306,93.14,79,810,1,EN,0
ML-0417,5,455,84.98,53,943,0,Bilingual,0
ML-0418,14,315,88.76,22,913,1,Bilingual,0
ML-0419,44,723,85.94,-16,723,0,EN,1
ML-0420,17,500,81.47,13,691,1,EN,1
ML-0421,27,567,84.51,19,465,1,Bilingual,0
ML-0422,35,617,89.97,54,1175,1,EN,1
ML-0423,41,383,81.62,-9,1026,0,ES,1
ML-0424,16,749,94.96,-25,1037,1,Bilingual,0
ML-0425,44,575,84.43,49,154,1,ES,1
ML-0426,34,727,85.28,-37,787,1,EN,1
ML-0427,17,496,92.66,35,1270,1,Bilingual,0
ML-0428,17,709,86.66,34,1282,0,EN,1
ML-0429,30,566,87.22,51,1057,1,EN,1
ML-0430,11,541,96.91,21,21,0,ES,1
ML-0431,6,467,96.04,10,967,1,ES,0
ML-0432,6,366,87.62,-13,110,1,Bilingual,0
ML-0433,9,322,80.91,56,1044,0,EN,1
ML-0434,37,652,82.96,52,400,1,ES,1
ML-0435,26,530,78.55,41,791,1,Bilingual,1
ML-0436,18,553,90.34,42,725,1,EN,0
ML-0437,4,457,78.78,13,1200,1,EN,0
ML-0438,14,591,83.32,16,1194,0,Bilingual,1
ML-0439,40,625,88.25,-14,1365,1,ES,0
ML-0440,26,416,79.17,63,485,1,EN,1
ML-0441,15,675,92.52,63,16,1,ES,1
ML-0442,24,302,91.75,34,21,0,EN,0
ML-0443,26,539,85.35,-22,99,1,ES,1
ML-0444,28,350,93.36,4,742,0,ES,0
ML-0445,18,631,79.09,10,437,1,EN,1
ML-0446,38,629,94.04,-14,1275,0,EN,1
ML-0447,0,516,78.08,5,1200,1,ES,0
ML-0448,1,332,84.91,26,589,0,ES,0
ML-0449,8,695,85.6,78,90,1,ES,1
ML-0450,31,356,78.55,-15,623,1,Bilingual,0
ML-0451,38,574,80.88,57,956,1,Bilingual,1
ML-0452,2,523,96.87,68,603,1,EN,0
ML-0453,7,643,82.88,26,616,0,Bilingual,1
ML-0454,12,660,90.9,-37,80,0,ES,1
ML-0455,2,722,97.79,41,74,1,Bilingual,1
ML-0456,37,599,79.03,1,59,0,Bilingual,1
ML-0457,44,511,92.87,-26,353,0,EN,1
ML-0458,12,292,79.98,24,856,1,Bilingual,0
ML-0459,15,594,95.96,-11,1097,0,EN,0
ML-0460,36,546,97.2,78,676,1,EN,1
ML-0461,30,640,82.67,1,1110,0,ES,1
ML-0462,36,433,97.79,7,340,0,Bilingual,0
ML-0463,27,299,87.95,32,642,0,ES,0
ML-0464,13,583,84.26,69,59,0,EN,1
ML-0465,41,530,95.95,-4,309,1,EN,0
ML-0466,31,619,81.27,73,692,1,Bilingual,1
ML-0467,20,381,84.24,-33,114,0,ES,0
ML-0468,6,571,86.3,5,861,1,EN,0
ML-0469,4,330,97.6,-26,821,0,ES,0
ML-0470,40,393,88.15,1,771,0,EN,0
ML-0471,3,572,79.35,2,1088,1,Bilingual,0
ML-0472,36,676,94.69,33,387,1,Bilingual,1
ML-0473,5,595,90.0,69,349,0,Bilingual,1
ML-0474,28,312,88.51,15,477,0,ES,0
ML-0475,45,745,86.07,-11,525,1,ES,1
ML-0476,31,446,90.4,-32,815,1,ES,0
ML-0477,18,678,80.68,32,568,1,EN,1
ML-0478,22,478,97.23,-39,870,1,EN,0
ML-0479,13,572,78.88,2,1263,0,ES,1
ML-0480,31,446,95.69,-40,84,1,Bilingual,0
ML-0481,36,431,79.92,32,913,0,Bilingual,1
ML-0482,7,658,89.15,-5,1314,0,EN,0
ML-0483,37,508,81.27,14,191,1,ES,1
ML-0484,44,389,90.15,19,602,1,Bilingual,0
ML-0485,27,543,81.53,55,1319,1,Bilingual,1
ML-0486,26,461,91.98,77,74,1,Bilingual,1
ML-0487,28,651,80.94,-25,922,1,Bilingual,1
ML-0488,21,722,79.62,8,835,1,EN,1
ML-0489,39,447,86.22,17,797,0,ES,1
ML-0490,16,376,95.3,6,616,0,ES,0
ML-0491,7,560,90.14,-31,447,0,ES,0
ML-0492,28,379,83.2,42,384,0,ES,1
ML-0493,31,302,85.16,-12,667,0,Bilingual,0
ML-0494,25,707,93.82,52,950,1,Bilingual,1
ML-0495,29,642,78.69,32,153,0,EN,1
ML-0496,19,355,81.36,44,1211,1,EN,0
ML-0497,11,297,89.61,50,520,0,EN,0
ML-0498,6,655,91.55,34,361,0,EN,0
ML-0499,11,415,81.94,70,1375,0,ES,1
ML-0500,32,699,82.08,-5,1108,1,Bilingual,1
ML-0501,25,486,88.62,67,249,1,EN,1
ML-0502,37,424,81.42,41,1077,1,ES,1
ML-0503,34,595,97.81,-32,286,0,EN,1
ML-0504,36,310,93.4,74,1185,0,Bilingual,1
ML-0505,28,374,97.74,69,1362,0,Bilingual,1
ML-0506,31,511,84.67,52,246,0,Bilingual,1
ML-0507,0,627,78.32,51,895,1,Bilingual,1
ML-0508,16,661,86.65,9,1021,1,ES,0
ML-0509,6,650,84.98,49,553,1,EN,1
ML-0510,13,694,87.49,61,739,0,EN,1
ML-0511,7,364,78.13,11,1087,1,ES,0
ML-0512,29,455,97.07,-23,360,1,EN,0
ML-0513,37,645,78.69,1,813,0,Bilingual,1
ML-0514,5,396,97.35,-34,1250,1,ES,0
ML-0515,15,704,93.78,48,833,0,ES,1
ML-0516,39,542,81.69,36,1226,0,Bilingual,1
ML-0517,44,326,83.13,-24,154,1,Bilingual,1
ML-0518,20,697,79.6,22,1205,0,Bilingual,1
ML-0519,30,297,95.13,66,361,1,EN,1
ML-0520,10,496,78.43,70,1289,1,EN,1
